1,0.022,1.45,0.032,0.002,0.264
2,0.506,1.45,0.734,0.036,0.264
3,1.001,1.44,1.441,0.072,0.262
4,1.505,1.43,2.152,0.108,0.260
5,2.005,1.42,2.847,0.143,0.258
6,2.505,1.42,3.557,0.179,0.258
7,3.010,1.42,4.274,0.215,0.258
8,3.511,1.40,4.915,0.251,0.255
9,3.996,1.40,5.594,0.285,0.255
10,4.515,1.39,6.276,0.323,0.253
11,5.000,1.37,6.850,0.357,0.249
12,5.510,1.35,7.439,0.394,0.245
13,5.990,1.32,7.907,0.428,0.240
14,6.520,1.30,8.476,0.466,0.236
15,6.790,1.27,8.623,0.485,0.231
16,6.848,1.26,8.628,0.489,0.229
17,6.903,1.25,8.629,0.493,0.227
18,6.970,1.25,8.713,0.498,0.227
19,7.010,1.24,8.692,0.501,0.225
20,7.501,1.15,8.626,0.536,0.209
21,8.001,0.99,7.921,0.572,0.180
22,8.502,0.70,5.951,0.607,0.127
23,8.814,0.45,3.966,0.630,0.082