1,16,100,22,20,21,20.1455,0.0951
2,16,150,30,28,29,20.9265,1.1866
3,16,175,34,33,33.5,20.4462,0.3709
4,16,225,40,38,39,21.4867,2.7210
5,16,400,57,55,56,20.8643,1.0551
6,16,500,62,61,61.5,20.9938,1.3378
7,12,200,30,29,29.5,20.5024,0.4426
8,12,250,37,34,35.5,20.3278,0.2407
9,12,300,42,39,40.5,20.3723,0.2864
10,12,350,45,43,44,21.0208,1.4010
11,12,400,50,47,48.5,20.5251,0.4733
12,12,500,56,54,55,20.3055,0.2194
13,24,100,33,32,32.5,18.2079,2.6544
14,24,200,53,50,51.5,18.4537,1.9140
15,24,300,62,59,60.5,19.6884,0.0221
16,24,250,55,58,56.5,19.1942,0.4133
17,24,150,44,43,43.5,18.3353,2.2554
18,24,350,65,63,64,19.8015,0.0013
19,40,100,47,46,46.5,18.3462,2.2229
20,40,150,58,56,57,18.8324,1.0096
21,40,200,65,63,64,18.8585,0.9577
22,40,50,33,29,31,16.0877,-
23,40,130,54,51,52.5,19.2850,0.3048
24,40,230,67,66,66.5,19.3342,0.2530